"Date","Price","Open","High","Low","Change %"
"09/26/2025","87.67","87.67","87.67","87.67","1.40%"
"09/17/2025","86.46","86.46","86.46","86.46","0.00%"
"09/16/2025","86.46","86.46","86.46","86.46","-0.01%"
"09/15/2025","86.47","86.46","86.47","86.46","0.01%"
"09/12/2025","86.46","86.46","86.46","86.46","0.00%"
"09/11/2025","86.46","86.46","86.46","86.46","0.00%"
"09/10/2025","86.46","86.46","86.46","86.46","0.00%"
"09/09/2025","86.46","86.46","86.46","86.46","-0.02%"
"09/08/2025","86.47","86.47","86.47","86.47","0.01%"
"09/05/2025","86.46","86.46","86.46","86.46","-0.01%"
"09/04/2025","86.47","86.47","86.47","86.47","0.01%"
"09/03/2025","86.46","86.46","86.46","86.46","0.01%"
"09/02/2025","86.45","86.45","86.45","86.45","-0.02%"
"09/01/2025","86.46","86.46","86.46","86.46","0.00%"
"08/29/2025","86.46","86.46","86.46","86.46","2.83%"
"07/19/2024","84.08","84.08","84.08","84.08","0.00%"
"07/18/2024","84.08","84.08","84.08","84.08","0.00%"
"07/17/2024","84.08","84.08","84.08","84.08","-0.01%"
"07/16/2024","84.09","84.11","84.11","84.09","0.00%"
"07/15/2024","84.09","84.09","84.09","84.09","0.00%"
"07/12/2024","84.09","84.09","84.09","84.09","-0.05%"
"07/11/2024","84.13","84.09","84.13","84.09","0.04%"
"07/10/2024","84.10","84.09","84.10","84.09","0.01%"
"07/09/2024","84.09","84.09","84.09","84.09","0.00%"
"07/08/2024","84.09","84.08","84.09","84.08","-0.01%"
"07/05/2024","84.10","84.10","84.10","84.10","0.01%"
"07/04/2024","84.09","84.09","84.09","84.09","0.00%"
"07/03/2024","84.09","84.09","84.09","84.09","-0.02%"
"07/02/2024","84.11","84.10","84.11","84.10","0.04%"
"07/01/2024","84.08","84.09","84.09","84.08","-0.01%"
"06/28/2024","84.09","84.09","84.09","84.09","-0.01%"
"06/27/2024","84.10","84.09","84.10","84.09","0.02%"
"06/26/2024","84.08","84.08","84.08","84.08","-0.01%"
"06/25/2024","84.09","84.09","84.09","84.09","0.00%"
"06/24/2024","84.09","84.09","84.09","84.09","-0.02%"
"06/21/2024","84.11","84.10","84.11","84.10","0.04%"
"06/20/2024","84.08","84.08","84.08","84.08","-0.01%"
"06/19/2024","84.09","84.09","84.09","84.09","-0.01%"
"06/18/2024","84.10","84.09","84.10","84.09","0.02%"
"06/17/2024","84.08","84.09","84.09","84.08","-0.05%"
"06/14/2024","84.12","84.00","84.12","84.00","0.02%"
"06/13/2024","84.10","88.76","88.76","84.10","0.01%"
"06/12/2024","84.09","84.09","84.09","84.09","-0.02%"
"06/11/2024","84.11","84.11","84.11","84.11","0.02%"
"06/10/2024","84.09","84.09","84.09","84.09","0.00%"
"06/07/2024","84.09","84.09","84.09","84.09","0.00%"
"06/06/2024","84.09","84.09","84.09","84.09","0.00%"
"06/05/2024","84.09","84.09","84.09","84.09","-0.01%"
"06/04/2024","84.10","84.10","84.10","84.10","0.00%"
"06/03/2024","84.10","84.10","84.10","84.10","0.01%"
"05/31/2024","84.09","88.87","88.87","84.09","-0.01%"
"05/30/2024","84.10","88.88","88.88","84.10","0.01%"
"05/29/2024","84.09","84.09","84.09","84.09","-0.01%"
"05/28/2024","84.10","84.10","84.10","84.10","0.00%"
"05/27/2024","84.10","84.10","84.10","84.10","0.01%"
"05/24/2024","84.09","84.10","84.10","84.09","-0.01%"
"05/23/2024","84.10","84.10","84.10","84.10","0.02%"
"05/22/2024","84.08","84.09","84.09","84.08","-0.04%"
"05/21/2024","84.11","84.69","84.69","84.11","0.02%"
"05/20/2024","84.09","84.10","84.10","84.09","-0.01%"
"05/17/2024","84.10","84.10","84.10","84.10","0.01%"
"05/16/2024","84.09","84.10","84.10","84.09","-0.06%"
"05/15/2024","84.14","69.18","84.14","69.18","0.04%"
"05/14/2024","84.11","84.11","84.11","84.11","0.00%"
"05/13/2024","84.11","84.11","84.11","84.11","0.01%"
"05/10/2024","84.10","84.11","84.11","84.10","0.00%"
"05/09/2024","84.10","84.10","84.10","84.10","0.01%"
"05/08/2024","84.09","84.10","84.10","84.09","-0.02%"
"05/07/2024","84.11","84.11","84.11","84.11","-0.01%"
"05/06/2024","84.12","84.12","84.12","84.12","-0.04%"
"05/03/2024","84.15","84.11","84.15","84.11","0.04%"
"05/02/2024","84.12","84.11","84.12","84.11","0.01%"
"05/01/2024","84.11","84.11","84.11","84.11","0.01%"
"04/30/2024","84.10","84.10","84.10","84.10","-0.01%"
"04/29/2024","84.11","84.12","84.12","84.11","0.01%"
"04/26/2024","84.10","84.11","84.11","84.10","0.04%"
"04/25/2024","84.07","84.11","84.11","84.07","-0.02%"
"04/24/2024","84.09","84.09","84.09","84.09","-0.01%"
"04/23/2024","84.10","84.10","84.10","84.10","0.00%"
"04/22/2024","84.10","84.10","84.10","84.10","-0.01%"
"04/19/2024","84.11","84.12","84.12","84.11","0.01%"
"04/18/2024","84.10","84.11","84.11","84.10","-0.01%"
"04/17/2024","84.11","84.11","84.11","84.11","0.01%"
"04/16/2024","84.10","84.10","84.10","84.10","0.04%"
"04/15/2024","84.07","84.09","84.09","84.07","-0.06%"
"04/12/2024","84.12","84.12","84.12","84.12","0.01%"
"04/11/2024","84.11","84.10","84.11","84.10","0.00%"
"04/10/2024","84.11","84.11","84.11","84.11","-0.01%"
"04/09/2024","84.12","84.12","84.12","84.12","0.04%"
"04/08/2024","84.09","84.09","84.09","84.09","-0.01%"
"04/05/2024","84.10","84.10","84.10","84.10","0.00%"
"04/04/2024","84.10","84.10","84.10","84.10","-0.01%"
"04/03/2024","84.11","84.10","84.11","84.10","0.01%"
"04/02/2024","84.10","84.11","84.11","84.10","-0.01%"
"04/01/2024","84.11","84.12","84.12","84.11","-0.01%"
"03/29/2024","84.12","84.12","84.12","84.12","0.02%"
"03/28/2024","84.10","84.09","84.10","84.09","-0.01%"
"03/27/2024","84.11","84.11","84.11","84.11","-0.01%"
"03/26/2024","84.12","84.12","84.12","84.12","0.04%"
"03/25/2024","84.09","84.10","84.10","84.09","-0.05%"
"03/22/2024","84.13","84.12","84.13","84.12","0.00%"
"03/21/2024","84.13","84.13","84.13","84.13","0.02%"
"03/20/2024","84.11","84.11","84.11","84.11","1.47%"
"03/19/2024","82.89","82.89","82.89","82.89","-0.01%"
"03/18/2024","82.90","82.89","82.90","82.89","0.01%"
"03/15/2024","82.89","82.89","82.89","82.89","0.00%"
"03/14/2024","82.89","82.89","82.89","82.89","0.01%"
"03/13/2024","82.88","82.90","82.90","82.88","-0.01%"
"03/12/2024","82.89","82.89","82.89","82.89","0.00%"
"03/11/2024","82.89","82.90","82.90","82.89","-0.01%"
"03/08/2024","82.90","82.90","82.90","82.90","0.01%"
"03/07/2024","82.89","82.89","82.89","82.89","0.00%"
"03/06/2024","82.89","82.88","82.89","82.88","-0.01%"
"03/05/2024","82.90","82.90","82.90","82.90","0.01%"
"03/04/2024","82.89","82.88","82.89","82.88","0.00%"
"03/01/2024","82.89","82.89","82.89","82.89","0.01%"
"02/29/2024","82.88","82.88","82.88","82.88","-0.02%"
"02/28/2024","82.90","82.90","82.90","82.90","0.00%"
"02/27/2024","82.90","82.90","82.90","82.90","0.00%"
"02/26/2024","82.90","82.90","82.90","82.90","0.01%"
"02/23/2024","82.89","82.88","82.89","82.88","0.00%"
"02/22/2024","82.89","82.89","82.89","82.89","-0.01%"
"02/21/2024","82.90","82.90","82.90","82.90","-0.01%"
"02/20/2024","82.91","82.91","82.91","82.91","0.01%"
"02/19/2024","82.90","82.90","82.90","82.90","0.01%"
"02/16/2024","82.89","82.89","82.89","82.89","-0.04%"
"02/15/2024","82.92","82.91","82.92","82.91","0.00%"
"02/14/2024","82.92","82.92","82.92","82.92","0.02%"
"02/13/2024","82.90","82.90","82.90","82.90","0.00%"
"02/12/2024","82.90","82.90","82.90","82.90","0.00%"
"02/09/2024","82.90","82.90","82.90","82.90","0.00%"
"02/08/2024","82.90","82.91","82.91","82.90","0.00%"
"02/07/2024","82.90","82.90","82.90","82.90","-0.01%"
"02/06/2024","82.91","82.92","82.92","82.91","0.05%"
"02/05/2024","82.87","82.88","82.88","82.87","-0.02%"
"02/02/2024","82.89","82.89","82.89","82.89","-0.02%"
"02/01/2024","82.91","82.91","82.91","82.91","-0.01%"
"01/31/2024","82.92","82.92","82.92","82.92","0.02%"
"01/30/2024","82.90","82.90","82.90","82.90","-0.02%"
"01/29/2024","82.92","82.92","82.92","82.92","0.01%"
"01/26/2024","82.91","82.91","82.91","82.91","0.00%"
"01/25/2024","82.91","82.91","82.91","82.91","-0.01%"
"01/24/2024","82.92","82.92","82.92","82.92","0.02%"
"01/23/2024","82.90","82.90","82.90","82.90","-0.01%"
"01/22/2024","82.91","82.90","82.91","82.90","0.00%"
"01/19/2024","82.91","82.91","82.91","82.91","-0.01%"
"01/18/2024","82.92","82.92","82.92","82.92","0.04%"
"01/17/2024","82.89","82.89","82.89","82.89","0.00%"
"01/16/2024","82.89","82.89","82.89","82.89","-0.01%"
"01/15/2024","82.90","82.90","82.90","82.90","0.00%"
"01/12/2024","82.90","82.91","82.91","82.90","-0.02%"
"01/11/2024","82.92","82.92","82.92","82.92","0.00%"
