country,date,sentiment_gdelt,sentiment_climatebert,sentiment_std,article_count,pct_positive,pct_negative
Denmark,2019-01-01,-0.004943995405898473,0.0,0.29597762150862983,13,0.46153846153846156,0.5384615384615384
Denmark,2019-01-02,-0.11312103003517855,0.0,0.4059712085438347,24,0.5,0.4583333333333333
Denmark,2019-01-03,-0.05637357613598476,0.0,0.33587529318296827,27,0.48148148148148145,0.48148148148148145
Denmark,2019-01-04,-0.03344270605832202,0.0,0.3327190629801793,25,0.44,0.48
Denmark,2019-01-05,0.11557974465183918,0.0,0.3062638049273652,14,0.6428571428571429,0.2857142857142857
Denmark,2019-01-06,0.09260571751210585,0.0,0.2703332416580735,18,0.4444444444444444,0.2222222222222222
Denmark,2019-01-07,0.012505800721578638,0.0,0.36089667280366033,33,0.42424242424242425,0.5454545454545454
Denmark,2019-01-08,0.05874805686428821,0.0,0.44786801726221415,35,0.5142857142857142,0.4857142857142857
Denmark,2019-01-09,-0.15145682044513656,0.0,0.3271191325947749,37,0.24324324324324326,0.6216216216216216
Denmark,2019-01-10,0.0675104791132312,0.0,0.24206686161255747,26,0.5769230769230769,0.38461538461538464
Denmark,2019-01-11,0.014608908111172237,0.0,0.35905350046205076,29,0.5862068965517241,0.3793103448275862
Denmark,2019-01-12,-0.05722921944859022,0.0,0.3298726752490874,19,0.47368421052631576,0.42105263157894735
Denmark,2019-01-13,-0.06258317158796842,0.0,0.21357132961398007,12,0.5,0.5
Denmark,2019-01-14,-0.1050284878771964,0.0,0.3201335039045863,30,0.36666666666666664,0.6
Denmark,2019-01-15,-0.07017532253929473,0.0,0.3912539790785105,35,0.42857142857142855,0.5714285714285714
Denmark,2019-01-16,-0.0419963815352518,0.0,0.32409541846597784,40,0.4,0.55
Denmark,2019-01-17,-0.02359414260353946,0.0,0.3166443214893996,29,0.3793103448275862,0.5172413793103449
Denmark,2019-01-18,-0.010811812992755847,0.0,0.19698253022505446,38,0.47368421052631576,0.5263157894736842
Denmark,2019-01-19,-0.03022168546078376,0.0,0.433809828087675,21,0.42857142857142855,0.38095238095238093
Denmark,2019-01-20,0.1226380652593555,0.0,0.3459489285489656,18,0.5555555555555556,0.4444444444444444
