country,date,sentiment_gdelt,sentiment_climatebert,sentiment_std,article_count,pct_positive,pct_negative
India,2020-01-01,-0.10755902871005892,0.0,0.33778934281341233,22,0.4090909090909091,0.5909090909090909
India,2020-01-02,-0.12028734698334015,0.0,0.34106179424775845,26,0.34615384615384615,0.5769230769230769
India,2020-01-03,-0.1350972212857287,0.0,0.2935133127740495,47,0.3191489361702128,0.6170212765957447
India,2020-01-04,-0.2930558531847995,0.0,0.2699773276755231,24,0.08333333333333333,0.8333333333333334
India,2020-01-05,-0.11714973780449597,0.0,0.4142104024843489,26,0.46153846153846156,0.5
India,2020-01-06,-0.07140508413704542,0.0,0.49488157248006565,27,0.3333333333333333,0.5925925925925926
India,2020-01-07,-0.24456341154643274,0.0,0.3282569977211103,36,0.2777777777777778,0.6944444444444444
India,2020-01-08,-0.2228002507368128,0.0,0.2889200541295025,51,0.23529411764705882,0.7647058823529411
India,2020-01-09,-0.1576029225468259,0.0,0.3196212597748474,30,0.36666666666666664,0.5
India,2020-01-10,-0.15526189103450116,0.0,0.305628224389657,30,0.3,0.7
India,2020-01-11,-0.24626231998363532,0.0,0.3957881705313676,19,0.15789473684210525,0.8421052631578947
India,2020-01-12,-0.08828932480883142,0.0,0.3383238699909173,17,0.4117647058823529,0.5882352941176471
India,2020-01-13,-0.0876675088481391,0.0,0.32655876741774886,44,0.3409090909090909,0.6363636363636364
India,2020-01-14,-0.03861641888764042,0.0,0.4099535568706099,32,0.4375,0.5625
India,2020-01-15,-0.18131098140385046,0.0,0.30992995423761893,29,0.2413793103448276,0.7241379310344828
India,2020-01-16,-0.09983180852801575,0.0,0.29507751530629067,44,0.3181818181818182,0.5909090909090909
India,2020-01-17,-0.08552824702070183,0.0,0.2929507132241865,47,0.3617021276595745,0.6170212765957447
India,2020-01-18,-0.1283364406915763,0.0,0.348821896661708,28,0.35714285714285715,0.6071428571428571
India,2020-01-19,-0.08626324494080963,0.0,0.2855755632090519,14,0.35714285714285715,0.5714285714285714
India,2020-01-20,-0.0226019127356971,0.0,0.24768450064727188,42,0.4523809523809524,0.47619047619047616
India,2020-01-21,-0.16886575834902126,0.0,0.2515173797107409,49,0.1836734693877551,0.7755102040816326
India,2020-01-22,-0.08860447072470005,0.0,0.300125884552313,34,0.4411764705882353,0.5588235294117647
India,2020-01-23,0.0222483748067508,0.0,0.25653226185005873,41,0.5609756097560976,0.4146341463414634
India,2020-01-24,-0.13610973495519138,0.0,0.315750530292171,37,0.2972972972972973,0.6486486486486487
India,2020-01-25,-0.015799977980121796,0.0,0.31232298132078956,22,0.4090909090909091,0.5909090909090909
India,2020-01-26,0.027934232727967672,0.0,0.275791657757908,25,0.56,0.4
India,2020-01-27,-0.015924385120140803,0.0,0.36843566704017705,29,0.4827586206896552,0.4827586206896552
India,2020-01-28,-0.11766318929930866,0.0,0.27404301044354784,29,0.3103448275862069,0.6206896551724138
