country,date,sentiment_gdelt,sentiment_std,article_count_x,pct_positive,pct_negative,sentiment_climatebert,climatebert_pct_pos,climatebert_pct_neg,climatebert_confidence,article_count_y,climatebert_label
India,2020-01-01,-0.0329104149950927,0.3583077133759231,35,0.4857142857142857,0.4285714285714285,,,,,,
India,2020-01-02,0.0328259649413593,0.3120179974676665,29,0.5172413793103449,0.4827586206896552,,,,,,
India,2020-01-03,-0.1815544278503958,0.3808872890490571,36,0.3055555555555556,0.6666666666666666,,,,,,
India,2020-01-04,-0.2540541321376807,0.3329620928482051,31,0.2258064516129032,0.7741935483870968,,,,,,
India,2020-01-05,-0.1171662913075793,0.3869128992120164,27,0.3703703703703703,0.6296296296296297,,,,,,
India,2020-01-06,-0.160254942882749,0.4186794646798394,32,0.375,0.625,,,,,,
India,2020-01-07,-0.06542628817607,0.2736582041646019,34,0.4117647058823529,0.5588235294117647,,,,,,
India,2020-01-08,-0.2420028344216626,0.2749245827580628,37,0.1891891891891892,0.7837837837837838,,,,,,
India,2020-01-09,-0.1486671681452721,0.3343187509168709,44,0.3181818181818182,0.6818181818181818,,,,,,
India,2020-01-10,-0.0301502933671681,0.3144344474575818,45,0.4222222222222222,0.5333333333333333,,,,,,
India,2020-01-11,-0.0848917617793366,0.3735332197243869,21,0.3333333333333333,0.6190476190476191,,,,,,
India,2020-01-12,-0.0490350383259359,0.3938031938154837,24,0.4166666666666667,0.5833333333333334,,,,,,
India,2020-01-13,-0.0443126175268372,0.3524569604353722,33,0.3939393939393939,0.5757575757575758,,,,,,
India,2020-01-14,-0.0283016764535938,0.3682589409717572,33,0.3939393939393939,0.5454545454545454,,,,,,
India,2020-01-15,-0.0498329024501336,0.2543232916709009,30,0.4333333333333333,0.5,,,,,,
India,2020-01-16,-0.0720233917520373,0.2892992246967835,43,0.3488372093023256,0.6511627906976745,,,,,,
India,2020-01-17,-0.1168066932853115,0.3169477007944214,34,0.3235294117647059,0.6176470588235294,,,,,,
India,2020-01-18,-0.1643696366100806,0.3263294615781215,20,0.4,0.6,,,,,,
India,2020-01-19,-0.2189556540124073,0.3139917885025873,20,0.2,0.75,,,,,,
India,2020-01-20,-0.0687439018015102,0.362255112911972,43,0.3953488372093023,0.5813953488372093,,,,,,
India,2020-01-21,-0.0839835392693553,0.3098370933788751,40,0.3,0.625,,,,,,
India,2020-01-22,-0.0702395806690433,0.2852364522513493,37,0.3783783783783784,0.5405405405405406,,,,,,
India,2020-01-23,0.0510753774712398,0.3206665499101442,33,0.5151515151515151,0.4848484848484848,,,,,,
India,2020-01-24,-0.0678435051085876,0.3200251526500327,31,0.3225806451612903,0.6451612903225806,,,,,,
India,2020-01-25,-0.0908361852543503,0.3905498369281578,18,0.3333333333333333,0.6111111111111112,,,,,,
India,2020-01-26,-0.0005343631411722,0.316985995527675,23,0.3478260869565217,0.6521739130434783,,,,,,
India,2020-01-27,0.0307934689254313,0.3056742577838893,30,0.6,0.4,,,,,,
India,2020-01-28,-0.1902514638383501,0.3353828524861029,38,0.2631578947368421,0.7368421052631579,,,,,,
India,2020-01-29,-0.1276335386944391,0.2691769092103872,27,0.2222222222222222,0.7037037037037037,,,,,,
India,2020-01-30,-0.1169455411593504,0.3971496463746788,32,0.375,0.59375,,,,,,
India,2020-01-31,-0.1253687072244955,0.3717273241477075,40,0.3,0.625,,,,,,
India,2020-02-01,-0.113906362731749,0.3397249089244161,36,0.4166666666666667,0.5833333333333334,,,,,,
India,2020-02-02,-0.0031540408197327,0.2617715390308086,18,0.4444444444444444,0.5555555555555556,,,,,,
India,2020-02-03,-0.0270119362335092,0.3035632381861975,27,0.5185185185185185,0.4444444444444444,,,,,,
India,2020-02-04,-0.0735082775626504,0.2880894239448519,46,0.391304347826087,0.6086956521739131,,,,,,
India,2020-02-05,-0.0609210598814819,0.3228266239236201,38,0.4736842105263157,0.5263157894736842,,,,,,
India,2020-02-06,-0.0889673105276527,0.2752627122767261,44,0.3863636363636363,0.5909090909090909,,,,,,
India,2020-02-07,-0.1862691785885828,0.3158912027308273,33,0.2121212121212121,0.7878787878787878,,,,,,
India,2020-02-08,-0.0060663930093566,0.452596524545908,22,0.3636363636363636,0.6363636363636364,,,,,,
India,2020-02-09,-0.1574514712112806,0.3689105144896342,28,0.25,0.6428571428571429,,,,,,
India,2020-02-10,-0.0273599519425736,0.3082392977883818,39,0.4871794871794871,0.4871794871794871,,,,,,
India,2020-02-11,-0.0560648135366422,0.3016520687835489,28,0.4285714285714285,0.5,,,,,,
India,2020-02-12,-0.0908486442243624,0.3073737300720993,40,0.4,0.55,,,,,,
India,2020-02-13,-0.2067286103463089,0.3212281527412819,35,0.2857142857142857,0.6857142857142857,,,,,,
India,2020-02-14,-0.0352470568776685,0.3077394351627787,35,0.5142857142857142,0.4857142857142857,,,,,,
India,2020-02-15,-0.0268015561751585,0.3075343270771942,18,0.4444444444444444,0.5,,,,,,
India,2020-02-16,-0.1096674442273054,0.3814636968455705,28,0.5,0.5,,,,,,
India,2020-02-17,-0.1011945597937588,0.2979039304078241,41,0.3170731707317073,0.6585365853658537,,,,,,
India,2020-02-18,-0.1607270255055836,0.392012861850169,42,0.3571428571428571,0.6190476190476191,,,,,,
India,2020-02-19,0.0137711975910608,0.3467563777115131,38,0.4736842105263157,0.4473684210526316,,,,,,
India,2020-02-20,-0.0978452272331962,0.3597817166811327,35,0.4,0.5714285714285714,,,,,,
India,2020-02-21,-0.0082765576363994,0.3129135627882637,43,0.4883720930232558,0.4883720930232558,,,,,,
India,2020-02-22,0.0525610896053026,0.3364436526507433,28,0.5714285714285714,0.4285714285714285,,,,,,
India,2020-02-23,0.0339847174475985,0.3029458066815261,30,0.4666666666666667,0.4333333333333333,,,,,,
India,2020-02-24,-0.027003794261227,0.3426640493595724,36,0.5277777777777778,0.4444444444444444,,,,,,
India,2020-02-25,-0.1257381866075944,0.3666295006398608,53,0.320754716981132,0.6415094339622641,,,,,,
India,2020-02-26,-0.1716868330557391,0.3482091429477022,45,0.3333333333333333,0.6666666666666666,,,,,,
India,2020-02-27,-0.0632047602045094,0.251808004806696,33,0.4545454545454545,0.5151515151515151,,,,,,
India,2020-02-28,-0.065570551506028,0.2516483303036048,44,0.3409090909090909,0.6363636363636364,,,,,,
India,2020-02-29,-0.0432735908875595,0.3519591664642468,17,0.4117647058823529,0.5882352941176471,,,,,,
India,2020-03-01,-0.0660849505544007,0.4133962926006584,30,0.4333333333333333,0.5666666666666667,,,,,,
India,2020-03-02,-0.1208488336613882,0.4066388858861022,30,0.4,0.5333333333333333,,,,,,
India,2020-03-03,-0.1440160959606732,0.3256911148536774,35,0.4285714285714285,0.5714285714285714,,,,,,
India,2020-03-04,-0.1391100255713183,0.351704814090689,40,0.4,0.6,,,,,,
India,2020-03-05,-0.1218123978944339,0.3857955175543015,44,0.3863636363636363,0.6136363636363636,,,,,,
India,2020-03-06,-0.190495880261326,0.2780373630667674,28,0.2857142857142857,0.6785714285714286,,,,,,
India,2020-03-07,-0.2454245299220599,0.3159433324771575,23,0.217391304347826,0.782608695652174,,,,,,
India,2020-03-08,-0.157886216334701,0.2777521479582993,18,0.3333333333333333,0.6666666666666666,,,,,,
India,2020-03-09,-0.1857386349911785,0.2796185218822218,59,0.2033898305084746,0.7627118644067796,,,,,,
India,2020-03-10,-0.1548193645961549,0.3496060594629294,23,0.3478260869565217,0.6521739130434783,,,,,,
India,2020-03-11,-0.1312833685189987,0.3225007976106385,30,0.1666666666666666,0.6666666666666666,,,,,,
India,2020-03-12,-0.1208071958529682,0.391671321269945,35,0.3714285714285714,0.6285714285714286,,,,,,
India,2020-03-13,-0.1553548660012408,0.3429487227237341,39,0.2564102564102564,0.7435897435897436,,,,,,
India,2020-03-14,-0.1213029978161469,0.3049129513690274,22,0.3181818181818182,0.6363636363636364,,,,,,
India,2020-03-15,-0.2376492904681955,0.2542121272252896,18,0.1111111111111111,0.8888888888888888,,,,,,
India,2020-03-16,-0.2132089800216314,0.3660400721051768,35,0.3714285714285714,0.6285714285714286,,,,,,
India,2020-03-17,-0.1732441188792049,0.3541888532175186,35,0.2857142857142857,0.6857142857142857,,,,,,
India,2020-03-18,-0.1363339782147591,0.270880890676712,36,0.2777777777777778,0.6944444444444444,,,,,,
India,2020-03-19,-0.1595756514544299,0.3399810386710449,32,0.25,0.71875,,,,,,
India,2020-03-20,-0.2763032391709074,0.4037622498725999,43,0.2325581395348837,0.7441860465116279,,,,,,
India,2020-03-21,-0.162652763078683,0.3540252550223222,20,0.3,0.7,,,,,,
India,2020-03-22,-0.2114326327213474,0.2026040394647536,24,0.125,0.8333333333333334,,,,,,
India,2020-03-23,-0.231273294794107,0.2756725874977094,36,0.1666666666666666,0.8333333333333334,,,,,,
India,2020-03-24,-0.2081904530992209,0.2715636524166148,35,0.1714285714285714,0.8,,,,,,
India,2020-03-25,-0.238328460094168,0.2603972703577979,28,0.25,0.75,,,,,,
India,2020-03-26,-0.1464817435832968,0.266407434492409,44,0.2272727272727272,0.6590909090909091,,,,,,
India,2020-03-27,-0.185038244417883,0.2627877993144383,37,0.2162162162162162,0.7297297297297297,,,,,,
India,2020-03-28,-0.1581822439845737,0.2258267728548192,24,0.2083333333333333,0.75,,,,,,
India,2020-03-29,-0.2511476328073,0.2164646589589672,20,0.1,0.85,,,,,,
India,2020-03-30,-0.1327968978653251,0.3346895368272278,41,0.3414634146341463,0.6585365853658537,,,,,,
India,2020-03-31,-0.1674584433132416,0.2833820663433857,36,0.2777777777777778,0.6666666666666666,,,,,,
India,2020-04-01,-0.1955140063486762,0.3048992612721548,29,0.2758620689655172,0.7241379310344828,,,,,,
India,2020-04-02,-0.2392165602498825,0.2969767724665117,51,0.2156862745098039,0.7843137254901961,,,,,,
India,2020-04-03,-0.1656484973219827,0.3209389991424881,42,0.3333333333333333,0.6666666666666666,,,,,,
India,2020-04-04,-0.2484256647389181,0.265165401618959,24,0.0833333333333333,0.9166666666666666,,,,,,
India,2020-04-05,-0.1964497812070542,0.2449467487580544,15,0.2,0.7333333333333333,,,,,,
India,2020-04-06,-0.1692986038871159,0.301760136081374,31,0.3225806451612903,0.6774193548387096,,,,,,
India,2020-04-07,-0.1445075308806471,0.3323364064383816,34,0.3529411764705882,0.6176470588235294,,,,,,
India,2020-04-08,-0.1150139141081575,0.2666553020275469,35,0.3714285714285714,0.6285714285714286,,,,,,
India,2020-04-09,-0.2139194710889154,0.3066054799607117,28,0.2857142857142857,0.7142857142857143,,,,,,
India,2020-04-10,-0.1420339132477492,0.2826081511931346,19,0.3684210526315789,0.5789473684210527,,,,,,
India,2020-04-11,-0.2614661249413787,0.2884784382964985,28,0.1428571428571428,0.8214285714285714,,,,,,
India,2020-04-12,-0.1997818855600096,0.3437652821093357,23,0.217391304347826,0.7391304347826086,,,,,,
India,2020-04-13,-0.2990592732004196,0.259592476995366,35,0.1428571428571428,0.8285714285714286,,,,,,
India,2020-04-14,-0.2727957300725608,0.269015890972673,36,0.1388888888888889,0.8333333333333334,,,,,,
India,2020-04-15,-0.103355663486262,0.3939553617216407,31,0.2903225806451613,0.6774193548387096,,,,,,
India,2020-04-16,-0.1826439869961469,0.2679019732764826,31,0.3225806451612903,0.6774193548387096,,,,,,
India,2020-04-17,-0.1633294282062733,0.3000935897229201,41,0.3170731707317073,0.6585365853658537,,,,,,
India,2020-04-18,-0.079666533152669,0.3336540028696538,29,0.3448275862068966,0.6206896551724138,,,,,,
India,2020-04-19,-0.1354332109910919,0.188891649235538,26,0.2692307692307692,0.6153846153846154,,,,,,
India,2020-04-20,-0.2502134294461402,0.2397820110966569,29,0.1034482758620689,0.8620689655172413,,,,,,
India,2020-04-21,-0.1998832418213819,0.2856711572181521,44,0.1818181818181818,0.8181818181818182,,,,,,
India,2020-04-22,-0.1409071447308499,0.2820997725724598,43,0.2325581395348837,0.7674418604651163,,,,,,
India,2020-04-23,-0.1709275162395866,0.2903777664551122,41,0.2682926829268293,0.6829268292682927,,,,,,
India,2020-04-24,-0.1399140730962479,0.3053460675946431,44,0.2954545454545454,0.6818181818181818,,,,,,
India,2020-04-25,-0.192630970526417,0.2497703226704951,30,0.3,0.6666666666666666,,,,,,
India,2020-04-26,-0.1158452165629028,0.2549132067920676,25,0.24,0.64,,,,,,
India,2020-04-27,-0.16701659957302,0.2932301407618557,34,0.2352941176470588,0.7352941176470589,,,,,,
India,2020-04-28,-0.1738028781805118,0.2933774180627236,52,0.3269230769230769,0.6730769230769231,,,,,,
India,2020-04-29,-0.2252600380271607,0.2763431971141917,32,0.21875,0.75,,,,,,
India,2020-04-30,-0.1554511712094796,0.2964275684958538,38,0.2105263157894736,0.7368421052631579,,,,,,
India,2020-05-01,-0.144142701556145,0.2742539485091657,33,0.2424242424242424,0.7272727272727273,,,,,,
India,2020-05-02,-0.0890523269203129,0.2713442208392882,27,0.2962962962962963,0.6666666666666666,,,,,,
India,2020-05-03,-0.147868809871078,0.329004767056539,12,0.25,0.6666666666666666,,,,,,
India,2020-05-04,-0.1317924956554171,0.3606550508996363,44,0.2954545454545454,0.6363636363636364,,,,,,
India,2020-05-05,-0.1602691046380556,0.2736819613521586,33,0.2424242424242424,0.7575757575757576,,,,,,
India,2020-05-06,-0.1362670834114867,0.3215357137645647,26,0.2307692307692307,0.7307692307692307,,,,,,
India,2020-05-07,-0.1823509302748374,0.2517804992996579,34,0.2647058823529412,0.7058823529411765,,,,,,
India,2020-05-08,-0.2016183944689282,0.3173200331552306,48,0.2291666666666666,0.7083333333333334,,,,,,
India,2020-05-09,-0.1915906288799604,0.2887426144677522,24,0.25,0.75,,,,,,
India,2020-05-10,-0.1759788498502144,0.2547898039955386,32,0.25,0.75,,,,,,
India,2020-05-11,-0.1095529758390182,0.3027941281796764,38,0.3421052631578947,0.6578947368421053,,,,,,
India,2020-05-12,-0.207708881141307,0.2714783719883447,33,0.2121212121212121,0.7272727272727273,,,,,,
India,2020-05-13,-0.1606870437713932,0.2807979199232989,43,0.2790697674418604,0.6511627906976745,,,,,,
India,2020-05-14,-0.1991323965437637,0.2604107381252222,27,0.1481481481481481,0.8518518518518519,,,,,,
