date,ytm_green,ytm_conv,greenium,country,tenor,pair_id,sentiment,signaling_noise,sentiment_climatebert,vix,fx,cds,log_fx,log_vix,post,greenium_fd,sentiment_fd,signaling_noise_fd,log_vix_fd,log_fx_fd,cds_fd,sentiment_climatebert_fd,post_stack,treated_unit,stack_id,sentiment_fd_z,signaling_noise_fd_z,log_vix_fd_z,cds_fd_z,log_fx_fd_z,sent_x_noise_stack,pair_stack,month_stack
2023-05-02,7.09,7.053,0.03699999999999992,India,10Y,India_10Y,-0.1049348692194363,0.3375175551909439,,17.78,81.77000000000001,81.74,4.403910428173886,2.8780742300857587,0,0.0,-0.0751143952780347,0.04736481648043539,0.10049796633493857,-0.00024455857299621186,0.030000000000001137,,0,1,B_India,-0.883256155685992,0.7547096644875737,1.9581787025212352,0.04299174828449366,-0.21140045396805268,-0.6666019569143592,India_10Y_B_India,2023-05_B_India
2023-05-03,7.099,6.99705,0.10195000000000043,India,10Y,India_10Y,0.0530512325085242,0.2435354929165182,,18.34,81.78,81.74,4.404032714936497,2.9090844668283187,0,0.06495000000000051,0.15798610172796052,-0.09398206227442571,0.031010236742559982,0.0001222867626102797,0.0,,0,1,B_India,1.8605089065062634,-1.5106135160750152,0.6045867485583486,-0.019197065838103173,0.03331590104777193,-2.8105099009463084,India_10Y_B_India,2023-05_B_India
2023-05-04,7.02,6.99005,0.029949999999999477,India,10Y,India_10Y,-0.0390817135650632,0.3796318271990964,,20.09,81.725,81.74,4.403359952610274,3.000222178826843,0,-0.07200000000000095,-0.09213294607358741,0.1360963342825782,0.09113771199852438,-0.0006727623262223759,0.0,,0,1,B_India,-1.0835770716932227,2.1767825527916833,1.775844856946777,-0.019197065838103173,-0.49704797765909187,-2.3587116642669104,India_10Y_B_India,2023-05_B_India
2023-05-05,7.02,6.99005,0.029949999999999477,India,10Y,India_10Y,-0.1085148260664536,0.3616059798716439,,17.19,81.725,81.71,4.403359952610274,2.844327819394758,0,0.0,-0.06943311250139039,-0.018025847327452493,-0.15589435943208496,0.0,-0.030000000000001137,,0,1,B_India,-0.8163832601271706,-0.2932864980119759,-3.0362367324326045,-0.0813858799607,-0.04825954208331834,0.23943418739829783,India_10Y_B_India,2023-05_B_India
2023-05-08,7.02,7.058,-0.038000000000000256,India,10Y,India_10Y,-0.1464768930853173,0.3567912535947897,,16.98,81.78,81.71,4.404032714936497,2.8320361808832013,0,-0.06794999999999973,-0.037962067018863704,-0.004814726276854198,-0.01229163851155679,0.0006727623262223759,0.0,,0,1,B_India,-0.4459458042885445,-0.08155590289185229,-0.2389156982665331,-0.019197065838103173,0.40052889349245513,0.0363695127095855,India_10Y_B_India,2023-05_B_India
2023-05-09,7.02,7.048,-0.02800000000000047,India,10Y,India_10Y,-0.0629798787316181,0.3408608035434775,,17.71,82.125,81.74,4.408242476804775,2.8741294517947424,0,0.009999999999999787,0.0834970143536992,-0.015930450051312217,0.042093270911541136,0.00420976186827815,0.030000000000001137,,0,1,B_India,0.9837173162814349,-0.2597042069565038,0.8204796258279212,0.04299174828449366,2.760001814671975,-0.2554755254942503,India_10Y_B_India,2023-05_B_India
2023-05-10,7.027,7.048,-0.020999999999999908,India,10Y,India_10Y,0.0413445563221102,0.3009244349998793,,16.94,81.92500000000001,81.75,4.405804194584879,2.8296776892239084,0,0.007000000000000561,0.10432443505372829,-0.039936368543598166,-0.04445176257083405,-0.0024382822198960596,0.010000000000005116,,0,1,B_India,1.228871445021237,-0.6444397179937522,-0.8653814846787071,0.0015325388694389264,-1.6747966121713869,-0.7919335674800607,India_10Y_B_India,2023-05_B_India
2023-05-11,7.032,7.0280000000000005,0.0039999999999995595,India,10Y,India_10Y,-0.0078672298187036,0.3551008994838845,,16.93,82.1,81.78,4.407938016458383,2.829087196145044,0,0.024999999999999467,-0.0492117861408138,0.054176464484005205,-0.0005904930788642737,0.0021338218735040826,0.030000000000001137,,0,1,B_India,-0.5783633095394618,0.8638778630091763,-0.0109822717068698,0.04299174828449366,1.3751771503136416,-0.49963525988786506,India_10Y_B_India,2023-05_B_India
2023-05-12,7.014,7.029,-0.01499999999999968,India,10Y,India_10Y,-0.0561526420500516,0.2424275346043329,,17.03,82.2005,81.78,4.409161384768695,2.834976494674597,0,-0.01899999999999924,-0.048285412231347996,-0.11267336487955162,0.005889298529552889,0.0012233683103124449,0.0,,0,1,B_India,-0.5674592042288097,-1.8101733043016472,0.11524136282488362,-0.019197065838103173,0.7678288872450224,1.0271995027752476,India_10Y_B_India,2023-05_B_India
2023-05-15,7.004,7.013,-0.009000000000000341,India,10Y,India_10Y,-0.0273804293934221,0.309312327996729,,17.12,82.26650000000001,81.8,4.409963977429142,2.840247370713596,0,0.005999999999999339,0.028772212656629496,0.06688479339239609,0.005270876038999006,0.0008025926604471323,0.01999999999999602,,0,1,B_India,0.3395659701435608,1.0675503622959812,0.10319475096587079,0.022262143576951565,0.48713652640522437,0.3625037744501447,India_10Y_B_India,2023-05_B_India
