"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2026","6.3126","6.3536","6.3689","6.3104","","-0.64%"
"01/22/2026","6.3534","6.3926","6.4014","6.3525","","-0.61%"
"01/21/2026","6.3926","6.3719","6.3981","6.3613","","0.33%"
"01/20/2026","6.3718","6.4154","6.4224","6.3479","","-0.68%"
"01/19/2026","6.4155","6.4537","6.4566","6.4132","","-0.40%"
"01/16/2026","6.4414","6.4360","6.4495","6.4251","","0.08%"
"01/15/2026","6.4360","6.4165","6.4457","6.4149","","0.31%"
"01/14/2026","6.4164","6.4180","6.4219","6.4067","","-0.03%"
"01/13/2026","6.4181","6.4046","6.4233","6.3992","","0.21%"
"01/12/2026","6.4049","6.4219","6.4295","6.3868","","-0.26%"
"01/09/2026","6.4218","6.4091","6.4320","6.4067","","0.21%"
"01/08/2026","6.4086","6.4004","6.4185","6.3951","","0.12%"
"01/07/2026","6.4006","6.3925","6.4016","6.3845","","0.13%"
"01/06/2026","6.3924","6.3735","6.3956","6.3614","","0.29%"
"01/05/2026","6.3736","6.3727","6.4070","6.3687","","0.00%"
"01/02/2026","6.3736","6.3591","6.3777","6.3482","","0.23%"
"01/01/2026","6.3590","6.3592","6.3628","6.3565","","0.00%"
"12/31/2025","6.3592","6.3567","6.3729","6.3511","","0.04%"
"12/30/2025","6.3566","6.3438","6.3588","6.3397","","0.20%"
"12/29/2025","6.3438","6.3439","6.3573","6.3339","","-0.03%"
"12/26/2025","6.3454","6.3406","6.3511","6.3317","","0.08%"
"12/25/2025","6.3405","6.3419","6.3452","6.3392","","-0.01%"
"12/24/2025","6.3414","6.3328","6.3452","6.3256","","0.13%"
"12/23/2025","6.3330","6.3498","6.3534","6.3289","","-0.27%"
"12/22/2025","6.3504","6.3771","6.3809","6.3452","","-0.46%"
"12/19/2025","6.3800","6.3730","6.3844","6.3648","","0.11%"
"12/18/2025","6.3729","6.3635","6.3796","6.3515","","0.14%"
"12/17/2025","6.3637","6.3602","6.3843","6.3539","","0.05%"
"12/16/2025","6.3604","6.3553","6.3668","6.3288","","0.08%"
"12/15/2025","6.3555","6.3624","6.3698","6.3475","","-0.10%"
"12/12/2025","6.3618","6.3636","6.3741","6.3568","","-0.03%"
"12/11/2025","6.3636","6.3862","6.3937","6.3495","","-0.36%"
"12/10/2025","6.3863","6.4232","6.4262","6.3838","","-0.58%"
"12/09/2025","6.4236","6.4180","6.4303","6.4068","","0.09%"
"12/08/2025","6.4180","6.4159","6.4297","6.3986","","0.05%"
"12/05/2025","6.4148","6.4138","6.4240","6.3986","","0.01%"
"12/04/2025","6.4139","6.3989","6.4162","6.3930","","0.23%"
"12/03/2025","6.3991","6.4250","6.4276","6.3953","","-0.41%"
"12/02/2025","6.4257","6.4331","6.4437","6.4238","","-0.12%"
"12/01/2025","6.4331","6.4399","6.4444","6.4092","","-0.11%"
"11/28/2025","6.4399","6.4408","6.4643","6.4339","","-0.01%"
"11/27/2025","6.4407","6.4408","6.4520","6.4308","","0.00%"
"11/26/2025","6.4409","6.4551","6.4684","6.4375","","-0.22%"
"11/25/2025","6.4553","6.4826","6.4885","6.4459","","-0.42%"
"11/24/2025","6.4825","6.4855","6.4937","6.4659","","-0.06%"
"11/21/2025","6.4867","6.4786","6.4999","6.4649","","0.12%"
"11/20/2025","6.4788","6.4733","6.4911","6.4666","","0.09%"
"11/19/2025","6.4731","6.4490","6.4844","6.4397","","0.37%"
"11/18/2025","6.4490","6.4429","6.4550","6.4340","","0.09%"
"11/17/2025","6.4429","6.4264","6.4483","6.4232","","0.27%"
"11/14/2025","6.4257","6.4189","6.4348","6.4079","","0.10%"
"11/13/2025","6.4190","6.4414","6.4494","6.4065","","-0.35%"
"11/12/2025","6.4418","6.4473","6.4582","6.4381","","-0.08%"
"11/11/2025","6.4470","6.4612","6.4667","6.4345","","-0.22%"
"11/10/2025","6.4613","6.4574","6.4704","6.4463","","0.07%"
"11/07/2025","6.4570","6.4671","6.4765","6.4415","","-0.15%"
"11/06/2025","6.4669","6.4956","6.4969","6.4624","","-0.44%"
"11/05/2025","6.4956","6.5010","6.5098","6.4925","","-0.09%"
"11/04/2025","6.5013","6.4808","6.5073","6.4727","","0.32%"
"11/03/2025","6.4806","6.4730","6.4903","6.4695","","0.12%"
"10/31/2025","6.4727","6.4561","6.4818","6.4497","","0.26%"
"10/30/2025","6.4561","6.4370","6.4677","6.4170","","0.30%"
"10/29/2025","6.4371","6.4096","6.4503","6.4018","","0.42%"
"10/28/2025","6.4100","6.4140","6.4253","6.4002","","-0.06%"
"10/27/2025","6.4140","6.4242","6.4297","6.4102","","-0.15%"
"10/24/2025","6.4238","6.4287","6.4393","6.4125","","-0.08%"
"10/23/2025","6.4288","6.4331","6.4475","6.4277","","-0.07%"
"10/22/2025","6.4331","6.4387","6.4523","6.4264","","-0.09%"
"10/21/2025","6.4386","6.4149","6.4405","6.4073","","0.37%"
"10/20/2025","6.4148","6.4047","6.4176","6.3958","","0.10%"
"10/17/2025","6.4087","6.3904","6.4104","6.3682","","0.28%"
"10/16/2025","6.3905","6.4122","6.4151","6.3866","","-0.34%"
"10/15/2025","6.4121","6.4347","6.4372","6.4111","","-0.35%"
"10/14/2025","6.4348","6.4543","6.4702","6.4300","","-0.30%"
"10/13/2025","6.4542","6.4303","6.4623","6.4209","","0.46%"
"10/10/2025","6.4245","6.4570","6.4612","6.4204","","-0.50%"
"10/09/2025","6.4570","6.4215","6.4693","6.4093","","0.57%"
"10/08/2025","6.4203","6.4050","6.4385","6.4021","","0.24%"
"10/07/2025","6.4049","6.3738","6.4102","6.3719","","0.47%"
"10/06/2025","6.3749","6.3675","6.4079","6.3644","","0.26%"
"10/03/2025","6.3586","6.3730","6.3741","6.3499","","-0.23%"
"10/02/2025","6.3731","6.3642","6.3914","6.3498","","0.14%"
"10/01/2025","6.3643","6.3617","6.3737","6.3372","","0.04%"
"09/30/2025","6.3618","6.3654","6.3732","6.3460","","-0.05%"
"09/29/2025","6.3653","6.3775","6.3797","6.3500","","-0.20%"
"09/26/2025","6.3782","6.3986","6.4026","6.3744","","-0.32%"
"09/25/2025","6.3985","6.3588","6.4094","6.3498","","0.62%"
"09/24/2025","6.3588","6.3170","6.3642","6.3146","","0.66%"
"09/23/2025","6.3169","6.3235","6.3363","6.3149","","-0.10%"
"09/22/2025","6.3235","6.3538","6.3652","6.3230","","-0.49%"
"09/19/2025","6.3547","6.3322","6.3637","6.3291","","0.36%"
"09/18/2025","6.3316","6.3189","6.3531","6.2996","","0.20%"
"09/17/2025","6.3191","6.2904","6.3220","6.2629","","0.45%"
"09/16/2025","6.2906","6.3473","6.3487","6.2834","","-0.89%"
"09/15/2025","6.3471","6.3614","6.3711","6.3396","","-0.22%"
"09/12/2025","6.3614","6.3607","6.3796","6.3537","","0.01%"
"09/11/2025","6.3610","6.3839","6.3992","6.3542","","-0.35%"
"09/10/2025","6.3835","6.3762","6.3908","6.3641","","0.12%"
"09/09/2025","6.3761","6.3478","6.3793","6.3386","","0.44%"
"09/08/2025","6.3480","6.3752","6.3789","6.3461","","-0.36%"
"09/05/2025","6.3710","6.4077","6.4094","6.3477","","-0.58%"
"09/04/2025","6.4079","6.4014","6.4186","6.3963","","0.10%"
"09/03/2025","6.4013","6.4119","6.4291","6.3890","","-0.16%"
"09/02/2025","6.4116","6.3729","6.4268","6.3691","","0.61%"
"09/01/2025","6.3729","6.3818","6.3878","6.3600","","-0.23%"
"08/29/2025","6.3876","6.3896","6.4070","6.3749","","-0.03%"
"08/28/2025","6.3894","6.4143","6.4197","6.3811","","-0.39%"
"08/27/2025","6.4143","6.4123","6.4498","6.4084","","0.03%"
"08/26/2025","6.4123","6.4246","6.4338","6.3986","","-0.19%"
"08/25/2025","6.4246","6.3673","6.4336","6.3642","","0.87%"
"08/22/2025","6.3690","6.4326","6.4445","6.3561","","-0.99%"
"08/21/2025","6.4325","6.4064","6.4351","6.3997","","0.41%"
"08/20/2025","6.4064","6.4094","6.4231","6.3946","","-0.05%"
"08/19/2025","6.4093","6.4011","6.4130","6.3835","","0.12%"
"08/18/2025","6.4014","6.3769","6.4043","6.3704","","0.40%"
"08/15/2025","6.3761","6.4079","6.4093","6.3703","","-0.50%"
"08/14/2025","6.4083","6.3756","6.4172","6.3701","","0.51%"
"08/13/2025","6.3758","6.3919","6.3954","6.3614","","-0.25%"
"08/12/2025","6.3919","6.4256","6.4349","6.3792","","-0.52%"
"08/11/2025","6.4256","6.4083","6.4394","6.3925","","0.22%"
"08/08/2025","6.4115","6.3990","6.4185","6.3911","","0.20%"
"08/07/2025","6.3988","6.4011","6.4280","6.3785","","-0.04%"
"08/06/2025","6.4013","6.4466","6.4527","6.3958","","-0.70%"
"08/05/2025","6.4466","6.4482","6.4743","6.4399","","-0.02%"
"08/04/2025","6.4482","6.4415","6.4621","6.4343","","0.11%"
"08/01/2025","6.4408","6.5392","6.5516","6.4342","","-1.50%"
"07/31/2025","6.5392","6.5440","6.5446","6.5109","","-0.08%"
"07/30/2025","6.5444","6.4636","6.5466","6.4492","","1.24%"
"07/29/2025","6.4640","6.4392","6.4778","6.4339","","0.38%"
"07/28/2025","6.4394","6.3466","6.4421","6.3408","","1.30%"
"07/25/2025","6.3567","6.3545","6.3780","6.3465","","0.04%"
"07/24/2025","6.3544","6.3408","6.3635","6.3313","","0.23%"
"07/23/2025","6.3400","6.3504","6.3738","6.3377","","-0.16%"
"07/22/2025","6.3502","6.3833","6.3923","6.3468","","-0.52%"
"07/21/2025","6.3831","6.4202","6.4269","6.3697","","-0.60%"
"07/18/2025","6.4217","6.4361","6.4379","6.3945","","-0.23%"
"07/17/2025","6.4362","6.4130","6.4574","6.4104","","0.37%"
"07/16/2025","6.4122","6.4336","6.4550","6.3670","","-0.33%"
"07/15/2025","6.4335","6.3988","6.4383","6.3827","","0.54%"
"07/14/2025","6.3988","6.3946","6.4029","6.3789","","0.24%"
"07/11/2025","6.3833","6.3766","6.3963","6.3696","","0.10%"
"07/10/2025","6.3767","6.3657","6.3979","6.3500","","0.17%"
"07/09/2025","6.3660","6.3630","6.3830","6.3607","","0.05%"
"07/08/2025","6.3630","6.3713","6.3869","6.3410","","-0.14%"
"07/07/2025","6.3720","6.3348","6.3838","6.3284","","0.59%"
"07/04/2025","6.3344","6.3463","6.3485","6.3299","","-0.19%"
"07/03/2025","6.3464","6.3243","6.3676","6.3174","","0.35%"
"07/02/2025","6.3241","6.3199","6.3520","6.3175","","0.07%"
"07/01/2025","6.3199","6.3298","6.3444","6.3067","","-0.16%"
"06/30/2025","6.3299","6.3594","6.3728","6.3288","","-0.56%"
"06/27/2025","6.3656","6.3770","6.3871","6.3474","","-0.18%"
"06/26/2025","6.3770","6.3988","6.4017","6.3519","","-0.35%"
"06/25/2025","6.3992","6.4261","6.4370","6.3954","","-0.42%"
"06/24/2025","6.4260","6.4434","6.4450","6.4079","","-0.27%"
"06/23/2025","6.4432","6.4891","6.5132","6.4411","","-0.47%"
"06/20/2025","6.4736","6.4891","6.4910","6.4608","","-0.23%"
"06/19/2025","6.4886","6.4975","6.5170","6.4861","","-0.14%"
"06/18/2025","6.4975","6.4968","6.5085","6.4689","","0.01%"
"06/17/2025","6.4971","6.4519","6.5007","6.4413","","0.70%"
"06/16/2025","6.4518","6.4687","6.4727","6.4209","","-0.08%"
"06/13/2025","6.4568","6.4384","6.4919","6.4222","","0.29%"
"06/12/2025","6.4384","6.4939","6.4951","6.4128","","-0.85%"
"06/11/2025","6.4938","6.5294","6.5406","6.4862","","-0.54%"
"06/10/2025","6.5292","6.5325","6.5600","6.5154","","-0.05%"
"06/09/2025","6.5324","6.5444","6.5520","6.5214","","-0.20%"
"06/06/2025","6.5453","6.5180","6.5598","6.5108","","0.42%"
"06/05/2025","6.5179","6.5328","6.5406","6.4886","","-0.22%"
"06/04/2025","6.5323","6.5606","6.5671","6.5218","","-0.43%"
"06/03/2025","6.5605","6.5202","6.5646","6.5125","","0.62%"
"06/02/2025","6.5203","6.5686","6.5733","6.5150","","-0.81%"
"05/30/2025","6.5733","6.5619","6.5946","6.5495","","0.18%"
"05/29/2025","6.5618","6.6049","6.6535","6.5511","","-0.63%"
"05/28/2025","6.6035","6.5822","6.6091","6.5723","","0.32%"
"05/27/2025","6.5824","6.5509","6.5856","6.5371","","0.48%"
"05/26/2025","6.5507","6.5634","6.5661","6.5326","","-0.21%"
"05/23/2025","6.5642","6.6126","6.6142","6.5578","","-0.73%"
"05/22/2025","6.6125","6.5845","6.6272","6.5757","","0.43%"
"05/21/2025","6.5845","6.6104","6.6131","6.5644","","-0.40%"
"05/20/2025","6.6110","6.6353","6.6498","6.6091","","-0.36%"
"05/19/2025","6.6352","6.6733","6.6784","6.6092","","-0.72%"
"05/16/2025","6.6833","6.6698","6.7033","6.6491","","0.20%"
"05/15/2025","6.6697","6.6774","6.6793","6.6446","","-0.11%"
"05/14/2025","6.6773","6.6687","6.6832","6.6211","","0.13%"
"05/13/2025","6.6687","6.7279","6.7297","6.6628","","-0.88%"
"05/12/2025","6.7279","6.6619","6.7416","6.6356","","1.44%"
"05/09/2025","6.6321","6.6443","6.6636","6.6057","","-0.19%"
"05/08/2025","6.6444","6.6025","6.6543","6.5810","","0.63%"
"05/07/2025","6.6028","6.5626","6.6073","6.5574","","0.61%"
"05/06/2025","6.5625","6.5955","6.6158","6.5554","","-0.50%"
"05/05/2025","6.5956","6.6067","6.6068","6.5656","","-0.14%"
"05/02/2025","6.6049","6.6107","6.6198","6.5569","","-0.08%"
"05/01/2025","6.6101","6.5901","6.6249","6.5802","","0.30%"
"04/30/2025","6.5903","6.5562","6.5971","6.5487","","0.52%"
"04/29/2025","6.5562","6.5355","6.5649","6.5346","","0.32%"
"04/28/2025","6.5354","6.5672","6.5893","6.5330","","-0.51%"
"04/25/2025","6.5691","6.5553","6.5966","6.5527","","0.20%"
"04/24/2025","6.5559","6.5988","6.5989","6.5502","","-0.65%"
"04/23/2025","6.5986","6.5379","6.6032","6.5258","","0.93%"
"04/22/2025","6.5379","6.4848","6.5402","6.4668","","0.84%"
"04/21/2025","6.4836","6.5510","6.5519","6.4513","","-1.03%"
"04/18/2025","6.5514","6.5683","6.5735","6.5487","","-0.25%"
"04/17/2025","6.5676","6.5513","6.5875","6.5447","","0.27%"
"04/16/2025","6.5502","6.6173","6.6188","6.5422","","-0.99%"
"04/15/2025","6.6156","6.5785","6.6272","6.5603","","0.58%"
"04/14/2025","6.5775","6.5959","6.6104","6.5343","","0.07%"
"04/11/2025","6.5732","6.6656","6.6704","6.5091","","-1.40%"
"04/10/2025","6.6664","6.8186","6.8223","6.6417","","-2.22%"
"04/09/2025","6.8178","6.8144","6.8424","6.7310","","0.06%"
"04/08/2025","6.8136","6.8460","6.8566","6.7910","","-0.47%"
"04/07/2025","6.8455","6.8563","6.8567","6.7531","","0.60%"
"04/04/2025","6.8047","6.7515","6.8302","6.7174","","0.80%"
"04/03/2025","6.7509","6.8736","6.9051","6.6957","","-1.78%"
"04/02/2025","6.8729","6.9144","6.9217","6.8297","","-0.59%"
"04/01/2025","6.9139","6.8981","6.9232","6.8887","","0.25%"
"03/31/2025","6.8969","6.8896","6.9187","6.8761","","0.10%"
"03/28/2025","6.8899","6.9084","6.9317","6.8798","","-0.25%"
"03/27/2025","6.9073","6.9375","6.9508","6.8942","","-0.42%"
"03/26/2025","6.9365","6.9144","6.9439","6.9058","","0.33%"
"03/25/2025","6.9140","6.9068","6.9215","6.8877","","0.11%"
"03/24/2025","6.9063","6.8977","6.9193","6.8695","","0.13%"
"03/21/2025","6.8972","6.8736","6.9085","6.8679","","0.36%"
"03/20/2025","6.8727","6.8416","6.8975","6.8327","","0.46%"
"03/19/2025","6.8412","6.8158","6.8687","6.8136","","0.39%"
"03/18/2025","6.8148","6.8309","6.8490","6.8101","","-0.23%"
"03/17/2025","6.8304","6.8575","6.8649","6.8257","","-0.40%"
"03/14/2025","6.8578","6.8745","6.8886","6.8364","","-0.23%"
"03/13/2025","6.8734","6.8514","6.8938","6.8451","","0.33%"
"03/12/2025","6.8507","6.8312","6.8586","6.8240","","0.29%"
"03/11/2025","6.8306","6.8837","6.8863","6.8128","","-0.76%"
"03/10/2025","6.8832","6.8830","6.9028","6.8584","","-0.01%"
"03/07/2025","6.8840","6.9168","6.9190","6.8501","","-0.47%"
"03/06/2025","6.9162","6.9132","6.9291","6.8724","","0.06%"
"03/05/2025","6.9122","7.0199","7.0356","6.9082","","-1.52%"
"03/04/2025","7.0191","7.1112","7.1229","7.0186","","-1.28%"
"03/03/2025","7.1100","7.1866","7.1874","7.1008","","-1.06%"
"02/28/2025","7.1859","7.1727","7.1986","7.1574","","0.19%"
"02/27/2025","7.1720","7.1138","7.1739","7.1075","","0.83%"
"02/26/2025","7.1130","7.0942","7.1208","7.0836","","0.27%"
"02/25/2025","7.0940","7.1259","7.1343","7.0898","","-0.44%"
"02/24/2025","7.1255","7.1162","7.1369","7.0852","","-0.05%"
"02/21/2025","7.1290","7.1020","7.1392","7.0992","","0.39%"
"02/20/2025","7.1013","7.1561","7.1591","7.1003","","-0.76%"
"02/19/2025","7.1556","7.1401","7.1717","7.1297","","0.23%"
"02/18/2025","7.1394","7.1144","7.1477","7.1132","","0.36%"
"02/17/2025","7.1141","7.1096","7.1272","7.1001","","0.06%"
"02/14/2025","7.1098","7.1282","7.1405","7.0941","","-0.25%"
"02/13/2025","7.1275","7.1841","7.1911","7.1267","","-0.78%"
"02/12/2025","7.1835","7.1986","7.2293","7.1518","","-0.20%"
"02/11/2025","7.1982","7.2370","7.2477","7.1847","","-0.53%"
"02/10/2025","7.2362","7.2231","7.2505","7.2159","","0.19%"
"02/07/2025","7.2225","7.1861","7.2391","7.1656","","0.51%"
"02/06/2025","7.1859","7.1718","7.2056","7.1688","","0.20%"
"02/05/2025","7.1712","7.1872","7.1937","7.1439","","-0.21%"
"02/04/2025","7.1866","7.2126","7.2630","7.1807","","-0.35%"
"02/03/2025","7.2119","7.2780","7.3075","7.2083","","0.14%"
"01/31/2025","7.2015","7.1817","7.2099","7.1518","","0.29%"
"01/30/2025","7.1805","7.1605","7.1847","7.1287","","0.29%"
"01/29/2025","7.1600","7.1538","7.1883","7.1447","","0.10%"
"01/28/2025","7.1532","7.1125","7.1665","7.1103","","0.58%"
"01/27/2025","7.1120","7.1178","7.1385","7.0848","","0.03%"
"01/24/2025","7.1100","7.1631","7.1660","7.0913","","-0.73%"
"01/23/2025","7.1623","7.1670","7.1929","7.1471","","-0.06%"
"01/22/2025","7.1663","7.1561","7.1793","7.1347","","0.15%"
"01/21/2025","7.1556","7.1631","7.2150","7.1500","","-0.10%"
"01/20/2025","7.1626","7.2656","7.2676","7.1507","","-1.40%"
"01/17/2025","7.2641","7.2424","7.2680","7.2216","","0.32%"
"01/16/2025","7.2407","7.2510","7.2708","7.2323","","-0.15%"
"01/15/2025","7.2513","7.2378","7.2704","7.2055","","0.19%"
"01/14/2025","7.2375","7.2821","7.2869","7.2373","","-0.60%"
"01/13/2025","7.2812","7.2826","7.3305","7.2782","","0.00%"
"01/10/2025","7.2814","7.2438","7.3031","7.2350","","0.53%"
"01/09/2025","7.2432","7.2311","7.2555","7.2289","","0.18%"
"01/08/2025","7.2304","7.2148","7.2628","7.2029","","0.22%"
"01/07/2025","7.2144","7.1785","7.2155","7.1487","","0.50%"
"01/06/2025","7.1782","7.2366","7.2443","7.1469","","-0.77%"
"01/03/2025","7.2339","7.2655","7.2681","7.2335","","-0.42%"
"01/02/2025","7.2645","7.2022","7.2944","7.1871","","0.88%"
"01/01/2025","7.2012","7.2030","7.2031","7.2017","","-0.01%"
"12/31/2024","7.2022","7.1664","7.2094","7.1536","","0.51%"
"12/30/2024","7.1655","7.1539","7.1912","7.1319","","0.19%"
"12/27/2024","7.1517","7.1584","7.1691","7.1418","","-0.08%"
"12/26/2024","7.1575","7.1731","7.1800","7.1527","","-0.21%"
"12/25/2024","7.1725","7.1755","7.1755","7.1716","","-0.03%"
"12/24/2024","7.1745","7.1685","7.1858","7.1668","","0.09%"
"12/23/2024","7.1677","7.1499","7.1816","7.1392","","0.24%"
"12/20/2024","7.1504","7.1981","7.2109","7.1385","","-0.65%"
"12/19/2024","7.1972","7.2070","7.2105","7.1585","","-0.12%"
"12/18/2024","7.2062","7.1107","7.2132","7.0954","","1.36%"
"12/17/2024","7.1096","7.0961","7.1182","7.0808","","0.20%"
"12/16/2024","7.0955","7.1122","7.1213","7.0860","","-0.05%"
"12/13/2024","7.0993","7.1244","7.1350","7.0854","","-0.34%"
"12/12/2024","7.1236","7.1048","7.1282","7.0810","","0.28%"
"12/11/2024","7.1040","7.0834","7.1164","7.0757","","0.30%"
"12/10/2024","7.0830","7.0662","7.1035","7.0563","","0.25%"
"12/09/2024","7.0655","7.0564","7.0807","7.0389","","0.15%"
"12/06/2024","7.0550","7.0444","7.0739","7.0164","","0.16%"
"12/05/2024","7.0438","7.0958","7.0975","7.0424","","-0.72%"
"12/04/2024","7.0949","7.0967","7.1213","7.0726","","-0.01%"
"12/03/2024","7.0957","7.1055","7.1166","7.0791","","-0.12%"
"12/02/2024","7.1039","7.0505","7.1309","7.0494","","0.75%"
"11/29/2024","7.0511","7.0659","7.0747","7.0374","","-0.21%"
"11/28/2024","7.0658","7.0584","7.0854","7.0557","","0.11%"
"11/27/2024","7.0579","7.1107","7.1214","7.0445","","-0.74%"
"11/26/2024","7.1102","7.1070","7.1552","7.0728","","0.06%"
"11/25/2024","7.1060","7.1234","7.1375","7.0827","","-0.71%"
"11/22/2024","7.1569","7.1206","7.2146","7.1044","","0.52%"
"11/21/2024","7.1201","7.0755","7.1298","7.0669","","0.65%"
"11/20/2024","7.0741","7.0399","7.0991","7.0306","","0.50%"
"11/19/2024","7.0391","7.0380","7.0880","7.0362","","0.02%"
"11/18/2024","7.0377","7.0770","7.0833","7.0318","","-0.53%"
