date,ytm_green,ytm_conv,greenium,country,tenor,pair_id,sentiment,signaling_noise,vix,fx,cds,log_fx,log_vix,post,greenium_fd,sentiment_fd,signaling_noise_fd,log_vix_fd,log_fx_fd,cds_fd,post_stack,treated_unit,stack_id,sentiment_fd_z,signaling_noise_fd_z,log_vix_fd_z,cds_fd_z,log_fx_fd_z,sent_x_noise_stack,pair_stack,month_stack
2022-01-17,0.07832499999999999,0.151105,-0.07278,Denmark,10Y,Denmark_10Y,-0.0518955499935644,0.2848210400421025,19.19,0.15329664433645548,9.08,-1.875380382864786,2.9543893100196086,0,0.059660000000000005,-0.1445721725646994,-0.0773356598043955,0.0,-0.0007207539090874349,0.0,0,1,B_Denmark,-1.3826636556299163,-1.1256211715529185,-0.021418674867928193,-0.1140294393634744,0.024507641345824362,1.5563554839137874,Denmark_10Y_B_Denmark,2022-01_B_Denmark
2022-01-18,0.06532,0.167329,-0.102009,Denmark,10Y,Denmark_10Y,-0.0739600847442386,0.2703825658952016,22.79,0.15220931825446354,9.08,-1.882498611680531,3.126321843257593,0,-0.029229000000000005,-0.0220645347506742,-0.014438474146900915,0.1719325332379844,-0.007118228815744976,0.0,0,1,B_Denmark,-0.19934825911534707,-0.20346012893352483,2.218585820672775,-0.1140294393634744,-1.0747613385229635,0.04055942250228223,Denmark_10Y_B_Denmark,2022-01_B_Denmark
2022-01-19,0.087328,0.192331,-0.105003,Denmark,10Y,Denmark_10Y,-0.0066941140147139,0.2493372539552504,23.85,0.15240882142258394,9.08,-1.8811887540544794,3.1717842173343502,0,-0.0029939999999999967,0.0672659707295247,-0.02104531193995121,0.04546237407675724,0.0013098576260515138,0.0,0,1,B_Denmark,0.6635053914759532,-0.3003256462689656,0.5708829703880676,-0.1140294393634744,0.37342472243027774,-0.19926768549795865,Denmark_10Y_B_Denmark,2022-01_B_Denmark
2022-01-20,0.048735,0.14479599999999998,-0.09606099999999998,Denmark,10Y,Denmark_10Y,-0.0731061018118039,0.302077836998204,25.59,0.15197799358652866,9.08,-1.8840195476533526,3.2422016501716975,0,0.00894200000000002,-0.06641198779709,0.05274058304295362,0.07041743283734725,-0.0028307935988731714,0.0,0,1,B_Denmark,-0.6277054205332694,0.7814791616371403,0.8960072662816756,-0.1140294393634744,-0.3380574661561415,-0.49053870579342795,Denmark_10Y_B_Denmark,2022-01_B_Denmark
2022-01-21,0.008945999999999999,0.119986,-0.11104,Denmark,10Y,Denmark_10Y,-0.0229002372140154,0.3171671169750756,28.85,0.15242275976648834,9.08,-1.88109730458025,3.3621099929541085,1,-0.01497900000000002,0.050205864597788495,0.015089279976871595,0.11990834278241103,0.002922243073102626,0.0,1,1,B_Denmark,0.4987198596342405,0.2294582003103944,1.5407942573038673,-0.1140294393634744,0.6504786118782314,0.11443536145072533,Denmark_10Y_B_Denmark,2022-01_B_Denmark
2022-01-24,0.0016879999999999998,0.072354,-0.070666,Denmark,10Y,Denmark_10Y,-0.0193189948355435,0.3440753020715708,29.9,0.15216068167985392,9.08,-1.8828182001750218,3.3978584803966405,1,0.04037399999999999,0.003581242378471898,0.026908185096495174,0.035748487442532006,-0.001720895594771843,0.0,1,1,B_Denmark,0.048367258659704905,0.4027399418350741,0.4443266443684955,-0.1140294393634744,-0.14734527665506242,0.019479426939331537,Denmark_10Y_B_Denmark,2022-01_B_Denmark
2022-01-25,0.052918,0.089275,-0.036356999999999993,Denmark,10Y,Denmark_10Y,-0.1221833879864125,0.2478941415938424,31.16,0.15186028853454822,9.08,-1.8847943351952443,3.4391352210025476,1,0.03430900000000001,-0.102864393150869,-0.09618116047772837,0.041276740605907136,-0.001976135020222536,0.0,1,1,B_Denmark,-0.9798034061347726,-1.4019226684790271,0.5163508954234529,-0.1140294393634744,-0.19120270273820283,1.3736086057133003,Denmark_10Y_B_Denmark,2022-01_B_Denmark
2022-01-26,0.057185,0.12786,-0.070675,Denmark,10Y,Denmark_10Y,-0.1119235237767442,0.2561934128897704,31.96,0.15108250615661212,9.08,-1.8899291930002986,3.464485120898074,1,-0.03431800000000001,0.010259864209668304,0.008299271295927974,0.025349899895526384,-0.005134857805054294,0.0,1,1,B_Denmark,0.1128768368490272,0.1299071406062213,0.3088497662355782,-0.1140294393634744,-0.7339615293116161,0.01466350711573208,Denmark_10Y_B_Denmark,2022-01_B_Denmark
2022-01-27,0.071105,0.125591,-0.05448600000000001,Denmark,10Y,Denmark_10Y,-0.1790798452217201,0.2894746771842642,30.49,0.1497454327643007,9.1,-1.8988185415214627,3.4173987610001633,1,0.016188999999999995,-0.06715632144497591,0.033281264294493795,-0.04708635989791077,-0.008889348521164075,0.019999999999999574,1,1,B_Denmark,-0.6348950250461272,0.49617822999514377,-0.634878244523508,-0.07577996789981294,-1.3790903089696438,-0.31502108976010984,Denmark_10Y_B_Denmark,2022-01_B_Denmark
2022-01-28,0.09032000000000001,0.146075,-0.055755,Denmark,10Y,Denmark_10Y,-0.0475588937310392,0.316744225456109,27.66,0.1497970250310829,9.1,-1.8984740677018108,3.319987326236612,1,-0.0012689999999999924,0.1315209514906809,0.0272695482718448,-0.09741143476355107,0.0003444738196518582,0.0,1,1,B_Denmark,1.2841516580609653,0.40803803330071287,-1.2905330633902847,-0.1140294393634744,0.2075442012048736,0.5239827170150458,Denmark_10Y_B_Denmark,2022-01_B_Denmark
2022-01-31,0.156608,0.20241399999999998,-0.045805999999999986,Denmark,10Y,Denmark_10Y,-0.1223205736869339,0.3402368472888931,24.83,0.15098669807189988,9.1,-1.8905635382866355,3.2120525995200753,1,0.009949000000000013,-0.0747616799558947,0.02349262183278411,-0.10793472671653692,0.007910529415175338,0.0,1,1,B_Denmark,-0.7083560596605176,0.35266298930578416,-1.427634639448305,-0.1140294393634744,1.5076087325196268,-0.24981096549274454,Denmark_10Y_B_Denmark,2022-01_B_Denmark
2022-02-01,0.185324,0.24188500000000002,-0.05656100000000003,Denmark,10Y,Denmark_10Y,-0.0435850265621532,0.3233370190914936,21.96,0.15150367396409362,9.1,-1.8871454037386772,3.08922261664133,1,-0.010755000000000042,0.0787355471247807,-0.01689982819739949,-0.12282998287874536,0.0034181345479582514,0.0,1,1,B_Denmark,0.7742913521081376,-0.2395470347900634,-1.6216958804316721,-0.1140294393634744,0.7356869360442072,-0.18547919746109326,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-02,0.206934,0.258992,-0.05205799999999999,Denmark,10Y,Denmark_10Y,-0.1064958910692188,0.2592331258366213,22.09,0.15197106470927937,9.1,-1.884065140012081,3.095125017432026,1,0.004503000000000035,-0.06291086450706561,-0.06410389325487231,0.0059024007906960385,0.0030802637265963106,0.0,1,1,B_Denmark,-0.5938876670600463,-0.931624897960496,0.055480118261243085,-0.1140294393634744,0.6776310751701832,0.5532805372248126,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-03,0.313633,0.363252,-0.049619000000000024,Denmark,10Y,Denmark_10Y,-0.016050125625858,0.2843439496325548,24.35,0.1537586297030921,9.1,-1.8723712457204431,3.192531849528599,1,0.002438999999999969,0.0904457654433608,0.025110823795933546,0.09740683209657286,0.011693894291637807,0.0,1,1,B_Denmark,0.8874017008192805,0.37638810186698224,1.2476357483033194,-0.1140294393634744,2.15769891792892,0.33400744176490066,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-04,0.403093,0.450721,-0.047628000000000004,Denmark,10Y,Denmark_10Y,-0.1935683951750983,0.3223346835677387,23.22,0.1537964657572169,9.1,-1.8721252016465573,3.1450139762697455,1,0.0019910000000000205,-0.1775182695492403,0.037990733935183874,-0.04751787325885326,0.0002460440738858427,0.0,1,1,B_Denmark,-1.7008938044803275,0.5652256665162667,-0.6405001698810501,-0.1140294393634744,0.19063115851292764,-0.9613888343107817,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-07,0.430657,0.47822,-0.047562999999999966,Denmark,10Y,Denmark_10Y,0.0134210620387719,0.3490458312901791,22.86,0.15373499162144297,9.1,-1.8725249925304996,3.1293886583666644,1,6.500000000003725e-05,0.2069894572138702,0.026711147722440376,-0.015625317903081193,-0.0003997908839423747,0.0,1,1,B_Denmark,2.0131106549666584,0.3998510973121601,-0.2249914466289733,-0.1140294393634744,0.07965825973428305,0.8049445043992197,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-08,0.471684,0.520334,-0.04864999999999997,Denmark,10Y,Denmark_10Y,0.0129774058070043,0.2857239056984486,21.44,0.15338834862103876,9.1,-1.8747823471641665,3.0652583362026014,1,-0.0010870000000000046,-0.0004436562317676005,-0.0633219255917305,-0.064130322164063,-0.0022573546336668304,0.0,1,1,B_Denmark,0.009490298986899643,-0.9201601542203827,-0.8569336716087438,-0.1140294393634744,-0.2395242674337207,-0.008732594979383116,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-09,0.41622000000000003,0.464253,-0.04803299999999999,Denmark,10Y,Denmark_10Y,0.0311524632067706,0.2658880389756916,19.96,0.15353436098998954,9.1,-1.8738308869079283,2.993730270883318,1,0.0006169999999999787,0.018175057399766298,-0.019835866722757,-0.07152806531928357,0.0009514602562381569,0.0,1,1,B_Denmark,0.18933060034782798,-0.2825934814539575,-0.9533143717151771,-0.1140294393634744,0.3118418140405325,-0.05350359349806057,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-10,0.488114,0.537663,-0.04954900000000001,Denmark,10Y,Denmark_10Y,0.0276641483234001,0.2611802672363201,23.91,0.1536310703476671,9.1,-1.873201197815299,3.1742967814702334,1,-0.0015160000000000173,-0.0034883148833704976,-0.00470777173937148,0.18056651058691564,0.000629689092629393,0.0,1,1,B_Denmark,-0.019918409921864683,-0.06079437078004908,2.3310726648538727,-0.1140294393634744,0.25655233437359287,0.00121092719813885,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-11,0.5196890000000001,0.563306,-0.043616999999999906,Denmark,10Y,Denmark_10Y,-0.077609761181118,0.2889554411310607,27.36,0.15256926644696692,9.1,-1.880136579845468,3.3090820927543496,1,0.005932000000000104,-0.10527390950451809,0.0277751738947406,0.1347853112841162,-0.006935382030168968,0.0,1,1,B_Denmark,-1.0030772023674202,0.4154512147763313,1.7346172394715889,-0.1140294393634744,-1.0433430363982836,-0.4167296422379886,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-14,0.529182,0.580831,-0.051648999999999945,Denmark,10Y,Denmark_10Y,0.0415174195177592,0.3097952093214453,28.33,0.15192719648744324,9.1,-1.8843538433562073,3.3439213138424253,1,-0.008032000000000039,0.1191271806988772,0.020839768190384578,0.03483922108807569,-0.004217263510739366,0.0,1,1,B_Denmark,1.1644387972099752,0.31376843058715714,0.4324803655795543,-0.1140294393634744,-0.57629261172113,0.36536413391537087,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-15,0.570641,0.636267,-0.06562600000000007,Denmark,10Y,Denmark_10Y,0.0201020114784411,0.2856084343627372,25.7,0.15261350629530712,9.1,-1.8798466562154243,3.246490991901174,1,-0.013977000000000128,-0.021415408039318105,-0.02418677495870808,-0.09743032194125112,0.004507187140782909,0.0,1,1,B_Denmark,-0.1930782693780329,-0.346383904399978,-1.2907791329511724,-0.1140294393634744,0.9228172882855254,0.06687920480195375,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-16,0.5283739999999999,0.57843,-0.0500560000000001,Denmark,10Y,Denmark_10Y,-0.0502439962647957,0.2935465481293369,24.29,0.1529005229197884,9.1,-1.8779677460412723,3.190064743014081,1,0.015569999999999973,-0.0703460077432368,0.007938113766599697,-0.056426248887093244,0.001878910174152093,0.0,1,1,B_Denmark,-0.6657045727129711,0.12461206419996046,-0.7565619824968272,-0.1140294393634744,0.4712042093636751,-0.082954820953116,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-17,0.46387,0.5175190000000001,-0.05364900000000006,Denmark,10Y,Denmark_10Y,-0.0188333494903048,0.2205018077138586,28.11,0.15272538448615544,9.1,-1.8791138429431375,3.3361253849184407,1,-0.0035929999999999573,0.0314106467744909,-0.07304474041547829,0.14606064190435974,-0.00114609690186529,0.0,1,1,B_Denmark,0.31717468393739195,-1.0627102693223005,1.881516670326211,-0.1140294393634744,-0.04857843786312673,-0.33706479378932136,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-18,0.419126,0.47676,-0.05763400000000002,Denmark,10Y,Denmark_10Y,-0.2316329471302612,0.3735122645279531,27.75,0.15221626887481735,9.1,-1.8824529478424774,3.3232358401924436,1,-0.003984999999999961,-0.2127995976399564,0.1530104568140945,-0.012889544725997126,-0.003339104899339862,0.0,1,1,B_Denmark,-2.0416802197943182,2.2515762792351595,-0.18934872038026757,-0.1140294393634744,-0.42539987122572764,-4.596998752672514,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-21,0.444147,0.503903,-0.059755999999999976,Denmark,10Y,Denmark_10Y,-0.3356607749312149,0.3491817629260261,27.75,0.15202189115232592,9.1,-1.8837307477668652,3.3232358401924436,1,-0.0021219999999999573,-0.10402782780095368,-0.024330501601927013,0.0,-0.0012777999243878124,0.0,1,1,B_Denmark,-0.9910411555424763,-0.3484911387663088,-0.021418674867928193,-0.1140294393634744,-0.07120878019761667,0.3453690608592761,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-22,0.465136,0.526565,-0.061428999999999956,Denmark,10Y,Denmark_10Y,-0.0835088816996053,0.3360016955384147,28.81,0.15224871349837094,9.1,-1.8822398223564296,3.360722549096437,1,-0.00167299999999998,0.2521518932316096,-0.013180067387611405,0.03748670890399364,0.0014909254104356062,0.0,1,1,B_Denmark,2.449339830857086,-0.18501011917466323,0.4669728755069033,-0.1140294393634744,0.40453734131993835,-0.4531526540061189,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-23,0.457526,0.516482,-0.05895600000000001,Denmark,10Y,Denmark_10Y,0.0549765303006837,0.3276379007292483,31.02,0.15199878400972794,9.1,-1.8838827581038606,3.4346321577483927,1,0.0024729999999999475,0.138485412000289,-0.00836379480916638,0.0739096086519555,-0.001642935747431018,0.0,1,1,B_Denmark,1.3514221849969883,-0.1143968016462208,0.9415047028436864,-0.1140294393634744,-0.13394954738570763,-0.15459837563740278,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-24,0.414892,0.467503,-0.05261100000000002,Denmark,10Y,Denmark_10Y,-0.0185491154061233,0.3812603011533736,30.32,0.15042117930204574,9.1,-1.894316057553147,3.411807560774171,1,0.0063449999999999895,-0.073525645706807,0.053622400424125305,-0.022824596974221567,-0.010433299449286393,0.0,1,1,B_Denmark,-0.6964170623566504,0.7944078424218312,-0.318786478786644,-0.1140294393634744,-1.6443851927304658,-0.5532391759324965,Denmark_10Y_B_Denmark,2022-02_B_Denmark
2022-02-25,0.456706,0.50336,-0.04665400000000003,Denmark,10Y,Denmark_10Y,0.0155398161080125,0.2619667323423224,27.59,0.15149219815179518,9.1,-1.8872211527066338,3.3174533882291946,1,0.00595699999999999,0.0340889315141358,-0.11929356881105124,-0.09435417254497658,0.007094904846513206,0.0,1,1,B_Denmark,0.3430445449944059,-1.7407830219797973,-1.250701851782564,-0.1140294393634744,1.3674611273111867,-0.5971661197090464,Denmark_10Y_B_Denmark,2022-02_B_Denmark
