date,ytm_green,ytm_conv,greenium,country,tenor,pair_id,sentiment,signaling_noise,vix,fx,cds,log_fx,log_vix,post,greenium_fd,sentiment_fd,signaling_noise_fd,log_vix_fd,log_fx_fd,cds_fd,post_stack,treated_unit,stack_id,sentiment_fd_z,signaling_noise_fd_z,log_vix_fd_z,cds_fd_z,log_fx_fd_z,sent_x_noise_stack,pair_stack,month_stack
2020-09-04,-0.4954035,-0.48181399999999996,-0.013589500000000032,Germany,10Y,Germany_10Y,-0.2003280948953811,0.2814443901380324,30.75,1.1838,11.83,0.16872960327448758,3.4258899942525267,1,-0.002838499999999966,-0.026768487766003185,-0.09391249146910308,-0.08863607271663199,-0.0009287795660697096,-0.009999999999999787,1,1,A_Germany,-0.3579828647254842,-1.4697013340004281,-1.0523876776793764,0.02220591944324486,-0.29203704364298594,0.526127893836339,Germany_10Y_A_Germany,2020-09_A_Germany
2020-09-07,-0.478794,-0.465313,-0.01348100000000002,Germany,10Y,Germany_10Y,-0.1602739292521924,0.3202586105052727,30.75,1.1817,11.84,0.16695407966283282,3.4258899942525267,1,0.00010850000000001137,0.0400541656431887,0.038814220367240304,0.0,-0.0017755236116547557,0.009999999999999787,1,1,A_Germany,0.5240540080263236,0.6211939024966919,0.035160165307953455,0.1328001064742994,-0.5254815873306998,0.3255391543649047,Germany_10Y_A_Germany,2020-09_A_Germany
2020-09-08,-0.5127900000000001,-0.49830599999999997,-0.014484000000000108,Germany,10Y,Germany_10Y,-0.1270739086201035,0.3350077417100685,31.46,1.1779,11.84,0.16373319198260172,3.4487168976301317,1,-0.0010030000000000872,0.03320002063208888,0.014749131204795762,0.022826903377604957,-0.0032208876802310993,0.0,1,1,A_Germany,0.43358156608425796,0.24208724341154053,0.31524195108111924,0.07750301295877214,-0.9239636991456011,0.1049645661273967,Germany_10Y_A_Germany,2020-09_A_Germany
2020-09-09,-0.4888035,-0.4653775,-0.023426000000000002,Germany,10Y,Germany_10Y,-0.129247222007469,0.3259199061851484,28.81,1.1802,11.84,0.16568391564093127,3.360722549096437,1,-0.008941999999999894,-0.002173313387365483,-0.009087835524920096,-0.08799434853369448,0.001950723658329545,0.0,1,1,A_Germany,-0.03333471642649942,-0.1334257147423419,-1.044513843363886,0.07750301295877214,0.501832508522255,0.00444770836493897,Germany_10Y_A_Germany,2020-09_A_Germany
2020-09-10,-0.454257,-0.43187549999999997,-0.022381500000000054,Germany,10Y,Germany_10Y,-0.143704359386224,0.3251417620369208,29.71,1.1813,10.59,0.1666155269723372,3.391483689474516,1,0.0010444999999999482,-0.014457137378755008,-0.0007781441482275775,0.030761140378078977,0.0009316113314059293,-1.25,1,1,A_Germany,-0.19547712092593603,-0.002519931905566901,0.41259353798188486,-6.8346336764822855,0.22086659755345708,0.0004925890338296255,Germany_10Y_A_Germany,2020-09_A_Germany
2020-09-11,-0.507011,-0.4815,-0.025511000000000006,Germany,10Y,Germany_10Y,-0.1296217226632837,0.2975215081769574,26.87,1.1845,10.59,0.16932074461670318,3.2910104226273997,1,-0.0031294999999999518,0.0140826367229403,-0.027620253859963417,-0.10047326684711644,0.002705217644365987,0.0,1,1,A_Germany,0.181238436050729,-0.425374069985959,-1.1976278101566697,0.07750301295877214,0.7098440147191545,-0.07709413118078856,Germany_10Y_A_Germany,2020-09_A_Germany
2020-09-14,-0.5089635,-0.485556,-0.023407500000000026,Germany,10Y,Germany_10Y,-0.144457280798655,0.2552250145270556,25.85,1.1868,10.59,0.17126060943452975,3.2523106009544382,1,0.0021034999999999804,-0.014835558135371296,-0.04229649364990179,-0.03869982167296149,0.0019398648178265698,0.0,1,1,A_Germany,-0.2004721494637326,-0.6565745528571774,-0.43967932491831035,0.07750301295877214,0.49883876197108407,0.13162491189446746,Germany_10Y_A_Germany,2020-09_A_Germany
2020-09-15,-0.5120625,-0.4835845,-0.028478000000000003,Germany,10Y,Germany_10Y,-0.0939828485820158,0.3216028257168206,25.59,1.1845,10.47,0.16932074461670318,3.2422016501716975,1,-0.005070499999999978,0.05047443221663919,0.06637781118976499,-0.010108950782740767,-0.0019398648178265698,-0.11999999999999922,1,1,A_Germany,0.6615980723933064,1.0554138116181926,-0.088874748262533,-0.5860621092275651,-0.5707899164342841,0.6982597433438684,Germany_10Y_A_Germany,2020-09_A_Germany
2020-09-16,-0.50638,-0.4839095,-0.02247050000000006,Germany,10Y,Germany_10Y,-0.0273231200819827,0.2943242435474005,26.04,1.1814,10.47,0.1667001758909978,3.2596338173403683,1,0.0060074999999999434,0.0666597285000331,-0.027278582169420085,0.017432167168670798,-0.0026205687257053745,0.0,1,1,A_Germany,0.8752386177776126,-0.41999158367013845,0.24904955843903098,0.07750301295877214,-0.7584577411916663,-0.3675928531696825,Germany_10Y_A_Germany,2020-09_A_Germany
2020-09-17,-0.529901,-0.50441,-0.02549099999999993,Germany,10Y,Germany_10Y,-0.170702546882321,0.363426373943955,26.46,1.1847,10.47,0.16948957797857644,3.2756341586868096,1,-0.0030204999999998705,-0.1433794268003383,0.0691021303965545,0.01600034134644135,0.002789402087578635,0.0,1,1,A_Germany,-1.897208602510214,1.0983310659776426,0.23148132649042613,0.07750301295877214,0.7330533883590983,-2.083763146776997,Germany_10Y_A_Germany,2020-09_A_Germany
